flow1,flow2,flow3,flow4,flow5,pressure1,pressure2,pressure3,pressure4,pressure5,pressure6
12.0,11.0,7.0,2.0,0.0,0.394,0.193,0.023,0.195,0.205,0.191
11.0,10.0,6.0,1.0,0.0,0.397,0.196,0.023,0.196,0.208,0.194
12.0,11.0,7.0,2.0,0.0,0.39,0.194,0.024,0.196,0.205,0.191
12.0,10.0,7.0,1.0,0.0,0.398,0.196,0.023,0.196,0.206,0.193
12.0,11.0,6.0,2.0,0.0,0.394,0.194,0.023,0.196,0.205,0.192
12.0,11.0,7.0,1.0,0.0,0.394,0.197,0.023,0.197,0.205,0.194
12.0,10.0,7.0,2.0,0.0,0.393,0.195,0.023,0.197,0.203,0.192
12.0,11.0,6.0,1.0,0.0,0.396,0.197,0.024,0.198,0.206,0.195
12.0,10.0,7.0,2.0,0.0,0.387,0.169,0.024,0.169,0.182,0.17
13.0,12.0,8.0,1.0,0.0,0.387,0.167,0.022,0.168,0.181,0.168
13.0,11.0,8.0,1.0,0.0,0.381,0.166,0.024,0.168,0.18,0.169
12.0,11.0,8.0,1.0,0.0,0.383,0.168,0.023,0.165,0.18,0.169
13.0,11.0,8.0,2.0,0.0,0.385,0.167,0.023,0.17,0.181,0.17
12.0,11.0,7.0,1.0,0.0,0.389,0.167,0.024,0.169,0.181,0.17
13.0,12.0,8.0,1.0,0.0,0.384,0.166,0.023,0.168,0.179,0.168
13.0,11.0,8.0,2.0,0.0,0.384,0.167,0.022,0.169,0.182,0.17
12.0,11.0,8.0,1.0,0.0,0.387,0.169,0.023,0.17,0.181,0.172
13.0,11.0,8.0,1.0,0.0,0.385,0.167,0.024,0.168,0.181,0.168
12.0,11.0,8.0,2.0,0.0,0.38,0.168,0.023,0.169,0.181,0.169
13.0,11.0,8.0,1.0,0.0,0.383,0.169,0.023,0.17,0.182,0.171
13.0,12.0,8.0,1.0,0.0,0.388,0.169,0.023,0.168,0.179,0.169
12.0,11.0,7.0,2.0,0.0,0.384,0.167,0.022,0.168,0.181,0.169
13.0,11.0,8.0,1.0,0.0,0.385,0.168,0.023,0.168,0.181,0.168
12.0,11.0,8.0,2.0,0.0,0.387,0.169,0.023,0.17,0.181,0.169
13.0,11.0,8.0,1.0,0.0,0.387,0.169,0.022,0.169,0.182,0.172
13.0,11.0,8.0,1.0,0.0,0.389,0.166,0.022,0.159,0.172,0.16
12.0,12.0,8.0,3.0,0.0,0.381,0.157,0.022,0.157,0.165,0.158
13.0,11.0,9.0,4.0,0.0,0.371,0.155,0.022,0.156,0.171,0.159
13.0,12.0,8.0,4.0,0.0,0.378,0.159,0.023,0.159,0.172,0.16
13.0,11.0,9.0,3.0,0.0,0.376,0.159,0.023,0.159,0.169,0.16
13.0,12.0,8.0,4.0,0.0,0.374,0.158,0.022,0.157,0.169,0.159
13.0,11.0,9.0,3.0,0.0,0.378,0.16,0.022,0.158,0.17,0.161
13.0,12.0,8.0,4.0,0.0,0.372,0.156,0.023,0.158,0.166,0.161
13.0,12.0,9.0,3.0,0.0,0.378,0.159,0.024,0.159,0.172,0.16
13.0,11.0,8.0,4.0,0.0,0.383,0.16,0.022,0.159,0.174,0.161
12.0,11.0,9.0,3.0,0.0,0.378,0.159,0.022,0.16,0.172,0.162
13.0,12.0,8.0,4.0,0.0,0.373,0.158,0.022,0.158,0.169,0.159
13.0,11.0,9.0,4.0,0.0,0.378,0.16,0.022,0.157,0.169,0.159
13.0,12.0,8.0,3.0,0.0,0.377,0.16,0.022,0.159,0.171,0.159
13.0,11.0,9.0,4.0,0.0,0.375,0.157,0.023,0.158,0.165,0.158
13.0,11.0,8.0,3.0,0.0,0.376,0.157,0.022,0.159,0.168,0.159
13.0,12.0,9.0,4.0,0.0,0.38,0.159,0.022,0.159,0.172,0.161
13.0,11.0,9.0,3.0,0.0,0.376,0.158,0.023,0.158,0.171,0.158
13.0,12.0,8.0,4.0,0.0,0.375,0.145,0.023,0.143,0.154,0.145
13.0,11.0,10.0,3.0,0.0,0.365,0.142,0.022,0.142,0.154,0.145
13.0,12.0,9.0,3.0,0.0,0.374,0.145,0.022,0.144,0.154,0.146
14.0,12.0,9.0,4.0,0.0,0.367,0.145,0.022,0.143,0.155,0.147
13.0,12.0,9.0,3.0,0.0,0.371,0.145,0.022,0.144,0.156,0.148
13.0,12.0,10.0,3.0,0.0,0.362,0.143,0.022,0.141,0.152,0.144
14.0,12.0,9.0,3.0,0.0,0.366,0.142,0.022,0.142,0.154,0.146
13.0,12.0,9.0,4.0,0.0,0.366,0.144,0.022,0.145,0.155,0.147
14.0,12.0,10.0,3.0,0.0,0.368,0.146,0.022,0.144,0.154,0.146
13.0,12.0,9.0,3.0,0.0,0.366,0.144,0.023,0.143,0.154,0.147
13.0,12.0,9.0,3.0,0.0,0.366,0.144,0.021,0.144,0.154,0.147
14.0,11.0,9.0,3.0,0.0,0.369,0.144,0.023,0.145,0.155,0.146
13.0,12.0,10.0,4.0,0.0,0.369,0.146,0.022,0.144,0.155,0.148
13.0,12.0,9.0,3.0,0.0,0.365,0.144,0.022,0.144,0.153,0.146
14.0,12.0,9.0,3.0,0.0,0.37,0.145,0.021,0.143,0.154,0.147
13.0,12.0,10.0,3.0,0.0,0.367,0.144,0.022,0.142,0.152,0.145
13.0,12.0,9.0,4.0,0.0,0.371,0.147,0.021,0.145,0.154,0.146
13.0,13.0,9.0,3.0,0.0,0.36,0.147,0.018,0.164,0.187,0.178
11.0,8.0,9.0,2.0,0.0,0.425,0.293,0.02,0.29,0.301,0.289
10.0,6.0,7.0,2.0,0.0,0.438,0.31,0.02,0.309,0.318,0.31
9.0,6.0,8.0,2.0,0.0,0.44,0.315,0.019,0.315,0.326,0.317
10.0,6.0,8.0,2.0,0.0,0.438,0.317,0.019,0.317,0.328,0.318
9.0,6.0,8.0,1.0,0.0,0.438,0.319,0.019,0.319,0.328,0.319
9.0,6.0,7.0,2.0,0.0,0.444,0.327,0.018,0.324,0.339,0.325
9.0,6.0,8.0,1.0,0.0,0.446,0.328,0.017,0.327,0.335,0.326
9.0,5.0,7.0,2.0,0.0,0.453,0.329,0.017,0.329,0.343,0.331
9.0,6.0,8.0,1.0,0.0,0.455,0.331,0.017,0.329,0.343,0.329
9.0,6.0,7.0,2.0,0.0,0.454,0.331,0.016,0.33,0.342,0.333
9.0,6.0,7.0,2.0,0.0,0.457,0.333,0.015,0.334,0.344,0.331
9.0,5.0,8.0,1.0,0.0,0.448,0.335,0.015,0.336,0.347,0.338
8.0,6.0,7.0,2.0,0.0,0.449,0.332,0.015,0.331,0.344,0.33
9.0,6.0,8.0,1.0,0.0,0.455,0.337,0.017,0.338,0.352,0.337
8.0,5.0,7.0,2.0,0.0,0.456,0.342,0.016,0.343,0.354,0.34
