sensor.flow0,sensor.flow1,sensor.flow2,sensor.flow3,sensor.flow4,sensor.pressure0,sensor.pressure1,sensor.pressure2,sensor.pressure3,sensor.pressure4,sensor.pressure5,valve.bigvalve0,valve.bigvalve1,valve.valve0,valve.valve1,valve.valve2,valve.valve3,valve.valve4,last_valve_change
2.364958909366277,1.6020815269979245,1.6020864225382805,0.9154791546492362,0.0,2.7039600000000004,1.9624800000000002,1.0678400000000001,1.9713600000000002,1.9180800000000002,1.8704999999999998,0,1,0,0,0,0,1,8.507828712463379
2.4430201321954366,1.628684262171358,1.7304770285570679,0.8143422259505029,0.0,2.72616,1.9713600000000002,1.07536,1.9758000000000002,1.9136400000000002,1.8748,0,1,0,0,0,0,1,9.461039304733276
2.4430201321954366,1.628684262171358,1.7304770285570679,0.8143422259505029,0.0,2.74392,1.9758000000000002,1.0716,1.9802400000000002,1.9136400000000002,1.8618999999999999,0,1,0,0,0,0,1,10.259637832641602
2.4430201321954366,1.628684262171358,1.7304770285570679,0.8143422259505029,0.0,2.73504,1.9669200000000002,1.0716,1.9713600000000002,1.9136400000000002,1.8661999999999999,0,1,0,0,0,0,1,11.290607452392578
2.3957874849934275,1.5971904888983124,1.5971896130764538,0.8784541266248262,0.0,2.7394800000000004,1.9802400000000002,1.07536,1.9846800000000002,1.9225200000000002,1.8748,0,1,0,0,0,0,1,12.074271202087402
2.3957874849934275,1.5971904888983124,1.5971896130764538,0.8784541266248262,0.0,2.6950800000000004,1.9580400000000002,1.0678400000000001,1.9624800000000002,1.9092000000000002,1.8704999999999998,0,1,0,0,0,0,1,13.07772970199585
2.4915682980781897,1.5946015283037605,1.6942635441061316,0.8969631550649781,0.0,2.77944,1.9846800000000002,1.07912,1.9846800000000002,1.9225200000000002,1.8748,0,1,0,0,0,0,1,14.160964488983154
2.4915682980781897,1.5946015283037605,1.6942635441061316,0.8969631550649781,0.0,2.7084,1.9580400000000002,1.07912,1.9624800000000002,1.9092000000000002,1.8618999999999999,0,1,0,0,0,0,1,14.912721395492554
2.4915682980781897,1.5946015283037605,1.6942635441061316,0.8969631550649781,0.0,2.7306000000000004,1.9624800000000002,1.0716,1.9713600000000002,1.9136400000000002,1.8661999999999999,0,1,0,0,0,0,1,15.940582513809204
2.356792227565546,1.5965313918900212,1.5965323642235623,0.9123030175160795,0.0,2.74392,1.9669200000000002,1.07536,1.9758000000000002,1.9136400000000002,1.8748,0,1,0,0,0,0,1,16.90399956703186
2.356792227565546,1.5965313918900212,1.5965323642235623,0.9123030175160795,0.0,2.7394800000000004,1.9713600000000002,1.0716,1.9713600000000002,1.9180800000000002,1.8748,0,1,0,0,0,0,1,17.74050807952881
2.356792227565546,1.5965313918900212,1.5965323642235623,0.9123030175160795,0.0,2.7217200000000004,1.9491600000000002,1.0716,1.9624800000000002,1.9136400000000002,1.8618999999999999,0,1,0,0,0,0,1,18.840742349624634
2.441443263688258,1.5536529481261672,1.7016198955667547,0.8878025114904308,0.0,2.74392,1.9624800000000002,1.07536,1.9669200000000002,1.9092000000000002,1.8576,0,1,0,0,0,0,1,19.719860076904297
2.441443263688258,1.5536529481261672,1.7016198955667547,0.8878025114904308,0.0,2.7039600000000004,1.9580400000000002,1.0716,1.9713600000000002,1.9136400000000002,1.8618999999999999,0,1,0,0,0,0,1,20.66011619567871
2.441443263688258,1.5536529481261672,1.7016198955667547,0.8878025114904308,0.0,2.71728,1.9669200000000002,1.0716,1.9846800000000002,1.9225200000000002,1.8748,0,1,0,0,0,0,1,21.70824646949768
2.381231505193461,1.613092593572588,1.6130927353740376,0.844953857515891,0.0,2.73504,1.9758000000000002,1.07536,1.9846800000000002,1.9136400000000002,1.8791,0,1,0,0,0,0,1,22.438546895980835
2.381231505193461,1.613092593572588,1.6130927353740376,0.844953857515891,0.0,2.73504,1.9713600000000002,1.0716,1.9802400000000002,1.9225200000000002,1.8748,0,1,0,0,0,0,1,23.50245475769043
2.3757311427774814,1.5493796192842157,1.6526700310288571,0.9296262331172253,0.0,2.7528,1.9846800000000002,1.07536,1.9846800000000002,1.9314000000000002,1.8791,0,1,0,0,0,0,1,24.44644069671631
2.3757311427774814,1.5493796192842157,1.6526700310288571,0.9296262331172253,0.0,2.7306000000000004,1.9758000000000002,1.0678400000000001,1.9891200000000002,1.9358400000000002,1.8877,0,1,0,0,0,0,1,25.244884729385376
2.3757311427774814,1.5493796192842157,1.6526700310288571,0.9296262331172253,0.0,2.74392,1.9802400000000002,1.07536,1.9846800000000002,1.9314000000000002,1.8791,0,1,0,0,0,0,1,26.261480569839478
2.3571320958397273,1.5443280685109049,1.5443276375598034,0.8128037929520748,0.0,2.7483600000000004,1.9891200000000002,1.07536,1.9980000000000002,1.9269600000000002,1.8834,0,1,0,0,0,0,1,27.01256251335144
2.3571320958397273,1.5443280685109049,1.5443276375598034,0.8128037929520748,0.0,2.74392,1.9802400000000002,1.07536,1.9758000000000002,1.9225200000000002,1.8791,0,1,0,0,0,0,1,28.106424570083618
2.3568905280659243,1.5712589393527145,1.6694641240466965,0.8838345440047742,0.0,2.7483600000000004,1.9891200000000002,1.07536,1.9846800000000002,1.9269600000000002,1.8791,0,1,0,0,0,0,1,29.130849361419678
2.3568905280659243,1.5712589393527145,1.6694641240466965,0.8838345440047742,0.0,2.7483600000000004,1.9802400000000002,1.07912,1.9935600000000002,1.9269600000000002,1.8834,0,1,0,0,0,0,1,29.92376947402954
2.3568905280659243,1.5712589393527145,1.6694641240466965,0.8838345440047742,0.0,2.7306000000000004,1.9846800000000002,1.07536,1.9802400000000002,1.9225200000000002,1.8877,0,1,0,0,0,0,1,30.971182584762573
2.4232138383790764,1.64152402541086,1.5633552357169038,0.8598448412169132,0.0,2.73504,1.9891200000000002,1.07912,1.9891200000000002,1.9225200000000002,1.892,0,1,0,0,0,0,1,31.796776294708252
2.4232138383790764,1.64152402541086,1.5633552357169038,0.8598448412169132,0.0,2.74392,1.9846800000000002,1.0716,1.9891200000000002,1.9314000000000002,1.8877,0,1,0,0,0,0,1,32.691893100738525
2.4232138383790764,1.64152402541086,1.5633552357169038,0.8598448412169132,0.0,2.7528,1.9935600000000002,1.07912,1.9891200000000002,1.9358400000000002,1.8791,0,1,0,0,0,0,1,33.643073081970215
2.3941105814894805,1.5162855446399128,1.5960907758362948,0.8778508086160153,0.0,2.7217200000000004,1.9891200000000002,1.07912,1.9891200000000002,1.9358400000000002,1.892,0,1,0,0,0,0,1,34.40526294708252
2.3941105814894805,1.5162855446399128,1.5960907758362948,0.8778508086160153,0.0,2.73504,1.9713600000000002,1.0678400000000001,1.9891200000000002,1.9358400000000002,1.8877,0,1,0,0,0,0,1,35.508734703063965
